        [,1] [,2] [,3] [,4]  [,5] [,6] [,7] [,8]  [,9] [,10]
[136,] 1.328  877 1.19  752 0.966 1145 1.11 1025 1.198  1084
[137,] 1.325 1038 1.07  897 1.126  886 1.11 1011 1.151  1102
[138,] 1.502  719 1.17  770 1.194  758 1.13  966 1.140  1059
[139,] 1.497  791 1.15  826 1.094  786 1.38  690 1.143  1070
[140,] 1.375 1000 1.28  726 1.136  835 1.12  948 0.955  1401
[141,] 1.194 1243 1.35  777 0.990  919 1.19  857 0.961  1440
[142,] 1.404  873 1.14  734 1.028  865 1.19  930 1.058  1282
[143,] 1.308 1072 1.19  692 1.121  777 1.17  902 1.121  1292
[144,] 1.553  776 1.23  717 0.969  810 1.20  990 1.213  1055
[145,] 1.301  971 1.16  932 1.061  824 1.30  781 1.044  1304
[146,] 1.261 1027 1.17  778 1.007  944 1.34  698 1.158  1186
[147,] 1.362 1101 1.17  791 1.058  811 1.22  860 1.043  1578
[148,] 1.466  814 1.24  735 1.089  818 1.13 1062 1.162  1062
[149,] 1.398  936 1.29  803 1.116  746 1.32  772 1.113  1265
[150,] 1.531  824 1.25  831 1.083  850 1.11  895 1.112  1538
[151,] 1.135 1129 1.20  801 1.025  983 1.26  707 1.253  1217
[152,] 1.439  859 1.14  844 0.973 1004 1.37  748 1.118  1374
[153,] 1.445  863 1.10  876 0.893  996 1.32  762 1.161  1243
[154,] 1.397  862 1.13  937 0.990  957 1.24  903 1.136  1027
[155,] 1.445  761 1.17  863 0.985  891 1.10  918 1.307  1053
[156,] 1.494  825 1.26  746 0.965 1000 1.38  687 1.045  1565
[157,] 1.468  809 1.20  813 0.910 1043 1.21  835 1.361   918
[158,] 1.205 1203 1.19  685 0.957 1042 1.05  908 1.297   886
[159,] 1.453  929 1.11  952 1.013  973 1.37  878 1.099  1246
[160,] 1.080 1237 1.34  624 1.015 1086 1.06 1049 1.310   923
[161,] 1.210 1013 1.16  965 1.051  873 1.28  796 1.196  1182
[162,] 1.334  986 1.13  827 1.087  753 1.16  982 1.089  1286
[163,] 1.472  867 1.24  723 1.065  953 1.27  808 1.134  1197
[164,] 1.367  962 1.16  782 1.154  764 1.37  868 1.202   999
[165,] 1.557  823 1.26  826 1.036  781 1.35  820 1.175  1068
[166,] 1.649  792 1.03  908 1.109  788 1.16  935 1.279  1084
[167,] 1.424  895 1.21  835 1.079  794 1.40  834 1.205  1127
[168,] 1.152 1019 1.46  613 0.920  940 1.38  760 1.128  1217
[169,] 1.317  989 1.29  849 0.911 1012 1.16  856 1.179  1120
[170,] 1.363  860 1.10  946 0.902 1163 1.15  949 1.202  1120
[171,] 1.097 1209 1.32  701 1.071  832 1.13  920 1.087  1100
[172,] 1.095 1393 1.29  756 1.105  729 1.42  650 1.154  1041
[173,] 1.470  965 1.14  799 0.998  843 1.12  962 1.098  1300
[174,] 1.390  873 1.40  710 1.101  983 1.22  870 0.983  1153
[175,] 1.342  927 1.20  732 1.075  809 1.19  942 1.148  1225
[176,] 1.338  933 1.20  779 1.097  885 1.30  802 1.143  1211
[177,] 1.485  742 1.24  807 1.048  886 1.26  871 1.210  1021
[178,] 1.322  871 1.11  937 0.992 1006 1.41  781 1.129   961
[179,] 1.430  789 1.21  734 0.953  919 1.31  784 1.047  1435
[180,] 1.466  725 1.15  823 1.072  851 1.09 1058 1.417   872
[181,] 1.396 1021 1.21  690 0.922  987 1.13 1023 1.237  1060
[182,] 1.798  713 1.20  877 1.004  888 1.22  902 1.207  1040
[183,] 1.643  772 1.19  728 0.911 1051 1.18 1125 1.086  1294
[184,] 1.221 1051 1.36  705 0.886 1027 1.23  847 1.021  1306
[185,] 1.498  845 1.20  809 1.195  723 1.34  882 0.933  1728
[186,] 1.628  871 1.18  804 0.958  840 1.42  758 1.102  1202
[187,] 1.285  859 1.12  763 1.044  827 1.26  798 1.296   867
[188,] 1.326  926 1.22  770 1.032  939 1.04 1067 1.270   896
[189,] 1.320  864 1.32  693 0.939 1038 1.10 1025 1.210  1097
